,Texas,Georgia,Chesapeake,Carrot Island,Mattamuskeet,Sardinia,Turkey,Beaufort
Tk_16,0,0,0,0,0,0,1,0
Tx_43,1,0,0,0,0,0,0,0
Tk_20,0,0,0,0,0,0,1,0
Tx_54,1,0,0,0,0,0,0,0
Tk_3,0,0,0,0,0,0,1,0
Tk_8,0,0,0,0,0,0,1,0
Tx_26,1,0,0,0,0,0,0,0
Tx_45,1,0,0,0,0,0,0,0
Ga_102,0,1,0,0,0,0,0,0
Ga_103,0,1,0,0,0,0,0,0
Ga_104,0,1,0,0,0,0,0,0
Ga_106,0,1,0,0,0,0,0,0
Ga_107,0,1,0,0,0,0,0,0
Ga_111,0,1,0,0,0,0,0,0
Ga_112,0,1,0,0,0,0,0,0
Ga_114,0,1,0,0,0,0,0,0
Ga_115,0,1,0,0,0,0,0,0
Ga_116,0,1,0,0,0,0,0,0
Ga_117,0,1,0,0,0,0,0,0
Ga_118,0,1,0,0,0,0,0,0
Ga_119,0,1,0,0,0,0,0,0
Ga_120,0,1,0,0,0,0,0,0
Ga_121,0,1,0,0,0,0,0,0
Ga_122,0,1,0,0,0,0,0,0
Ga_123,0,1,0,0,0,0,0,0
Ga_124,0,1,0,0,0,0,0,0
Ga_125,0,1,0,0,0,0,0,0
Ga_126,0,1,0,0,0,0,0,0
Ga_127,0,1,0,0,0,0,0,0
Ga_130,0,1,0,0,0,0,0,0
Ga_131,0,1,0,0,0,0,0,0
Ga_132,0,1,0,0,0,0,0,0
Ga_133,0,1,0,0,0,0,0,0
Ga_134,0,1,0,0,0,0,0,0
Ga_135,0,1,0,0,0,0,0,0
Ga_136,0,1,0,0,0,0,0,0
Ga_137,0,1,0,0,0,0,0,0
Ga_139,0,1,0,0,0,0,0,0
Ga_140,0,1,0,0,0,0,0,0
Tk_1,0,0,0,0,0,0,1,0
Tk_18,0,0,0,0,0,0,1,0
Tx_24,1,0,0,0,0,0,0,0
Tx_25,1,0,0,0,0,0,0,0
Tx_36,1,0,0,0,0,0,0,0
Tx_42,1,0,0,0,0,0,0,0
Tx_46,1,0,0,0,0,0,0,0
Tx_57,1,0,0,0,0,0,0,0
Tk_7,0,0,0,0,0,0,1,0
Tx_33,1,0,0,0,0,0,0,0
Tk_12,0,0,0,0,0,0,1,0
Tk_17,0,0,0,0,0,0,1,0
Tk_9,0,0,0,0,0,0,1,0
Tx_44,1,0,0,0,0,0,0,0
Tx_48,1,0,0,0,0,0,0,0
Tx_51,1,0,0,0,0,0,0,0
Tx_53,1,0,0,0,0,0,0,0
Ch_11,0,0,1,0,0,0,0,0
Ch_12,0,0,1,0,0,0,0,0
Ch_14,0,0,1,0,0,0,0,0
Ch_16,0,0,1,0,0,0,0,0
Ch_17,0,0,1,0,0,0,0,0
Ch_18,0,0,1,0,0,0,0,0
Ch_19,0,0,1,0,0,0,0,0
Ch_2,0,0,1,0,0,0,0,0
Ch_20,0,0,1,0,0,0,0,0
Ch_21,0,0,1,0,0,0,0,0
Ch_23,0,0,1,0,0,0,0,0
Ch_25,0,0,1,0,0,0,0,0
Ch_26,0,0,1,0,0,0,0,0
Ch_27,0,0,1,0,0,0,0,0
