"","index","haplotype","Taxon","Population"
"1",1,"I","Tk_16","Tk"
"3",3,"I","Tk_20","Tk"
"5",5,"I","Tk_3","Tk"
"6",6,"I","Tk_8","Tk"
"40",40,"I","Tk_1","Tk"
"41",41,"I","Tk_18","Tk"
"48",48,"I","Tk_7","Tk"
"50",50,"I","Tk_12","Tk"
"51",51,"I","Tk_17","Tk"
"52",52,"I","Tk_9","Tk"
"78",78,"I","Tk_14","Tk"
"87",87,"I","Tk_26","Tk"
"88",88,"I","Tk_28","Tk"
"89",89,"I","Tk_29","Tk"
"90",90,"I","Tk_31","Tk"
"91",91,"I","Tk_32","Tk"
"92",92,"I","Tk_33","Tk"
"93",93,"I","Tk_36","Tk"
"94",94,"I","Tk_38","Tk"
"95",95,"I","Tk_44","Tk"
"96",96,"I","Tk_45","Tk"
"98",98,"I","Tk_35","Tk"
"99",99,"I","Tk_46","Tk"
"100",100,"I","Tk_47","Tk"
"105",105,"I","Tk_40","Tk"
"106",106,"I","Tk_19","Tk"
"107",107,"I","Tk_2","Tk"
"109",109,"I","Tk_15","Tk"
"110",110,"I","Tk_34","Tk"
"2",2,"II","Tx_43","Tx"
"7",7,"II","Tx_26","Tx"
"20",20,"II","Ga_118","Ga"
"33",33,"II","Ga_133","Ga"
"67",67,"II","Ch_23","Ch"
"80",80,"II","Tx_28","Tx"
"101",101,"II","Tx_39","Tx"
"108",108,"II","Tx_56","Tx"
"135",135,"II","Bft_6","Bft"
"143",143,"II","C_11","C"
"176",176,"II","C_43","C"
"250",250,"II","Mt_C5","Mt"
"4",4,"III","Tx_54","Tx"
"27",27,"III","Ga_125","Ga"
"133",133,"III","Bft_4","Bft"
"149",149,"III","C_17","C"
"196",196,"III","C_63","C"
"8",8,"IV","Tx_45","Tx"
"17",17,"IV","Ga_115","Ga"
"22",22,"IV","Ga_120","Ga"
"24",24,"IV","Ga_122","Ga"
"25",25,"IV","Ga_123","Ga"
"53",53,"IV","Tx_44","Tx"
"57",57,"IV","Ch_11","Ch"
"59",59,"IV","Ch_14","Ch"
"61",61,"IV","Ch_17","Ch"
"72",72,"IV","Ch_3","Ch"
"74",74,"IV","Ch_4","Ch"
"76",76,"IV","Ch_7","Ch"
"82",82,"IV","Tx_31","Tx"
"97",97,"IV","Tx_30","Tx"
"121",121,"IV","Bft_2","Bft"
"124",124,"IV","Bft_25","Bft"
"126",126,"IV","Bft_27","Bft"
"134",134,"IV","Bft_5","Bft"
"139",139,"IV","C_1","C"
"140",140,"IV","C_10","C"
"141",141,"IV","C_100","C"
"142",142,"IV","C_101","C"
"146",146,"IV","C_14","C"
"147",147,"IV","C_15","C"
"148",148,"IV","C_16","C"
"150",150,"IV","C_18","C"
"154",154,"IV","C_23","C"
"155",155,"IV","C_24","C"
"162",162,"IV","C_30","C"
"164",164,"IV","C_32","C"
"168",168,"IV","C_36","C"
"170",170,"IV","C_38","C"
"172",172,"IV","C_4","C"
"173",173,"IV","C_40","C"
"195",195,"IV","C_62","C"
"203",203,"IV","C_7","C"
"208",208,"IV","C_74","C"
"209",209,"IV","C_75","C"
"210",210,"IV","C_76","C"
"211",211,"IV","C_77","C"
"218",218,"IV","C_84","C"
"224",224,"IV","C_90","C"
"230",230,"IV","C_96","C"
"232",232,"IV","C_98","C"
"238",238,"IV","Mt_A7","Mt"
"240",240,"IV","Mt_B1","Mt"
"243",243,"IV","Mt_B5","Mt"
"245",245,"IV","Mt_B9","Mt"
"247",247,"IV","Mt_C3","Mt"
"251",251,"IV","Mt_C5f","Mt"
